Country Code,Zone,Disponibilité intérieure,Importations - Quantité,Nourriture,Production,Population 2017 (en millier),Evolution démographique 2012-2017,PIB/habitant 2017($),Evolution PIB 2012-2017
AFG,AFGHANISTAN,57.0,29.0,55.0,28.0,36296.113,0.16477889166383403,525.469770891619,-0.19334364559030254
ZAF,AFRIQUE DU SUD,2118.0,514.0,2035.0,1667.0,57009.756,0.07906280240528496,6618.33508255701,-0.18059253370467457
ALB,ALBANIE,47.0,38.0,47.0,13.0,2884.169,-0.010269737167203872,4614.0479692596,0.09276851504490286
DZA,ALGÉRIE,277.0,2.0,264.0,275.0,41389.189,0.10713955835795072,4554.66753957828,-0.2451222046304781
DEU,ALLEMAGNE,1739.0,842.0,1609.0,1514.0,82658.409,0.02081914644044902,45526.5999576533,0.017681934159030653
AGO,ANGOLA,319.0,277.0,315.0,42.0,29816.766,0.18754372871265254,2437.25971190821,-0.5207930434086355
ATG,ANTIGUA-ET-BARBUDA,7.0,7.0,5.0,0.0,95.426,0.05549226293842422,16965.7288273816,0.08477860034378125
SAU,ARABIE SAOUDITE,1435.0,722.0,1435.0,616.0,33101.179,0.13535560060229995,23929.2907135982,-0.16719707933177969
ARG,ARGENTINE,1962.0,8.0,1856.0,2161.0,43937.14,0.05225562825761842,14532.5009308511,0.12222532621490145
ARM,ARMÉNIE,47.0,35.0,47.0,11.0,2944.791,0.020995869267195464,3869.05373867752,0.1018035673339491
AUS,AUSTRALIE,1171.0,16.0,1171.0,1269.0,24584.62,0.0733791397011554,53901.7145392154,-0.2081762972768136
AUT,AUTRICHE,173.0,110.0,160.0,148.0,8819.901,0.03736362249561192,47163.7425775142,-0.02252133046674047
AZE,AZERBAÏDJAN,129.0,27.0,129.0,104.0,9845.32,0.0626710526372599,4147.1981423222,-0.44673523478615434
BHS,BAHAMAS,26.0,24.0,16.0,6.0,381.755,0.049977446752332316,31875.4881749619,0.11640029006051708
BGD,BANGLADESH,250.0,0.0,240.0,249.0,159685.424,0.057479173026662236,1811.08221668646,1.106692125800791
BRB,BARBADE,17.0,2.0,13.0,15.0,286.232,0.008921364394203777,19692.7606711615,0.03460583262155518
BLR,BIÉLORUSSIE,265.0,21.0,264.0,463.0,9450.231,0.003523928841379716,5785.54491935194,-0.16793250942381877
BEL,BELGIQUE,152.0,338.0,144.0,463.0,11419.748,0.030165015870484237,44035.3239358548,-0.018693314331898917
BLZ,BELIZE,19.0,0.0,10.0,20.0,375.769,0.11174260355029587,6072.58267640581,0.06355748567485674
BEN,BÉNIN,161.0,123.0,161.0,18.0,11175.198,0.14861876800562926,1054.97408066814,-0.015446903279758919
BOL,BOLIVIE,429.0,1.0,403.0,533.0,11192.855,0.07855120934590752,3306.30301224425,0.2837027669980198
BIH,BOSNIE-HERZÉGOVINE,55.0,10.0,56.0,61.0,3351.525,-0.07030484564096479,5345.01985489192,0.13874310604193288
BWA,BOTSWANA,7.0,3.0,7.0,5.0,2205.08,0.08115687924234484,7104.96401088027,0.0772379032547549
BRA,BRÉSIL,9982.0,3.0,9982.0,14201.0,207833.823,0.042885442488735846,10080.5092819305,-0.19495818517610183
BGR,BULGARIE,157.0,108.0,157.0,107.0,7102.444,-0.031573344052354395,8696.68930427924,0.1701747274464926
BFA,BURKINA FASO,46.0,0.0,44.0,46.0,19193.234,0.15822466774238494,709.091535894695,-0.030594007580098344
CPV,CAP-VERT,10.0,12.0,9.0,1.0,537.498,0.06385741288707242,3893.09571382506,0.04182185540355568
KHM,CAMBODGE,38.0,10.0,37.0,28.0,16009.409,0.08314731063064774,1826.35391688754,0.531145111785565
CMR,CAMEROUN,82.0,0.0,78.0,81.0,24566.073,0.14339166866222042,1496.08951771242,0.0324275859712305
CAN,CANADA,1433.0,182.0,1433.0,1417.0,36732.095,0.05183160887268015,45129.628116623,-0.14316816521833825
CHL,CHILI,672.0,155.0,672.0,712.0,18470.439,0.061498313797994766,14879.9086227187,-0.02375020234922323
CHN,CHINE,18161.0,452.0,17518.0,18236.0,1421021.791,0.02659674884713952,8979.67652709856,0.4019665917845226
CYP,CHYPRE,38.0,14.0,30.0,25.0,1179.678,0.03932175436061627,26696.990234375,-0.07915805789473648
COL,COLOMBIE,1643.0,78.0,1565.0,1564.0,48909.839,0.061510077824506154,6479.53231292429,-0.20090600035703454
CRI,COSTA RICA,134.0,17.0,131.0,133.0,4949.954,0.0558775597269624,12317.0902771322,0.21626260183988186
HRV,CROATIE,45.0,24.0,45.0,61.0,4182.857,-0.02630917358453842,13902.6310485422,0.029162526738482866
CUB,CUBA,342.0,312.0,269.0,29.0,11339.254,0.00729761402222112,8610.60829531998,0.3306792690618588
DNK,DANEMARK,167.0,133.0,166.0,173.0,5732.274,0.021631277532333047,57521.5514992225,-0.015779665426200504
DMA,DOMINIQUE,4.0,4.0,3.0,0.0,71.458,0.006947086591981892,8224.64896571414,0.09246702786771252
ARE,ÉMIRATS ARABES UNIS,412.0,433.0,412.0,48.0,9487.203,0.037805980487433485,42340.5917160161,-0.18629734035300857
ECU,ÉQUATEUR,341.0,0.0,324.0,340.0,16785.361,0.08473901004006631,6233.32244797718,0.10635952948308193
ESP,ESPAGNE,1497.0,205.0,1418.0,1515.0,46647.428,-0.008831384954569418,28381.3425596906,-0.002639165172744516
EST,ESTONIE,29.0,21.0,28.0,20.0,1319.39,-0.0028484860851946026,20851.5223496861,0.18688915052255992
SWZ,ESWATINI,7.0,2.0,7.0,6.0,1124.805,0.04217317342544349,3853.99147918102,-0.11361653714123648
USA,ÉTATS-UNIS,18266.0,123.0,18100.0,21914.0,325084.756,0.03515709595810147,60047.7190728307,0.1612760396603853
ETH,ÉTHIOPIE,14.0,1.0,14.0,14.0,106399.924,0.14745372126571352,745.632433925343,0.6492606327732611
RUS,RUSSIE,4556.0,226.0,4509.0,4444.0,145530.082,0.01066843863071638,10658.9130859375,-0.3079459932019131
FJI,FIDJI,26.0,3.0,25.0,23.0,877.459,0.01432255692898484,5826.84814459328,0.3421577366864922
FIN,FINLANDE,111.0,16.0,103.0,129.0,5511.371,0.01784027761105267,46085.0174739036,-0.030843427460371452
FRA,FRANCE,1573.0,506.0,1485.0,1750.0,64842.509,0.02011018116622558,38687.1626407164,-0.05326059840464174
GAB,GABON,78.0,76.0,61.0,4.0,2064.823,0.18011330058833538,6921.73373135624,-0.25548465799093056
GMB,GAMBIE,8.0,16.0,8.0,2.0,2213.889,0.16213852608879845,642.522641296331,-0.07227578975801216
GEO,GÉORGIE,61.0,51.0,61.0,22.0,4008.716,-0.013629073651130242,4418.75206546679,-0.024707745803414956
GHA,GHANA,211.0,151.0,211.0,60.0,29121.465,0.1202092978079699,2012.28662641265,0.30348419329455206
GRC,GRÈCE,178.0,79.0,162.0,246.0,10569.45,-0.0196338508272559,18631.9930129293,-0.13837889165987974
GRD,GRENADE,8.0,7.0,5.0,1.0,110.874,0.03190439848854306,9751.42661155932,0.3748501016447929
GTM,GUATEMALA,357.0,129.0,348.0,235.0,16914.97,0.10766967823694039,4324.99608157801,0.31594057624202737
GIN,GUINÉE,50.0,37.0,49.0,13.0,12067.519,0.13288432975833428,833.598621691121,0.1919562396539218
GNB,GUINÉE-BISSAU,4.0,4.0,4.0,3.0,1828.145,0.13904605605431594,783.123186602022,0.23236891247555494
GUY,GUYANA,32.0,0.0,30.0,31.0,775.222,0.0262417609766494,6178.6650437298,0.1348666261068264
HTI,HAÏTI,98.0,89.0,98.0,9.0,10982.366,0.07135313576426722,1395.23945184461,0.024860904939554358
HND,HONDURAS,205.0,12.0,205.0,193.0,9429.013,0.09123367564006166,2413.0076562942,0.13498034773529902
HUN,HONGRIE,266.0,58.0,246.0,493.0,9729.823,-0.013638495277645019,14736.1668157258,0.13791392870263258
SLB,ÎLES SALOMON,3.0,6.0,3.0,0.0,636.039,0.14382542985237284,2143.57465243959,0.037420930531700466
IND,INDE,3661.0,0.0,2965.0,3545.0,1338676.785,0.05759020033119536,1950.10468280866,0.3643564496713367
IDN,INDONÉSIE,2323.0,1.0,1904.0,2301.0,264650.963,0.06520075960672947,3798.88326174526,0.0458695540032459
IRQ,IRAK,566.0,470.0,561.0,96.0,37552.781,0.1775719048826921,4759.2846435467,-0.2652699384182053
IRL,IRLANDE,128.0,99.0,123.0,110.0,4753.279,0.031483239218453744,72198.1076995377,0.4611529472423083
ISL,ISLANDE,10.0,2.0,10.0,10.0,334.393,0.02684153636397131,72010.1490316258,0.5655895483872826
ISR,ISRAËL,636.0,0.0,556.0,629.0,8243.848,0.08258699463896814,41138.470964272,0.2345949995372303
ITA,ITALIE,1173.0,97.0,1146.0,1315.0,60673.701,0.013263811231732545,32844.115660604,-0.057676493504220896
JAM,JAMAÏQUE,152.0,31.0,149.0,128.0,2920.848,0.02769610982178164,5259.31332766957,-0.01526353652690653
JPN,JAPON,2415.0,1069.0,2359.0,2215.0,127502.725,-0.0071703815182026865,38834.0529341227,-0.20981114374169624
JOR,JORDANIE,275.0,64.0,275.0,210.0,9785.843,0.20962780789328803,4065.61628749384,-0.024916247975144728
KAZ,KAZAKHSTAN,331.0,174.0,330.0,171.0,18080.019,0.07930585424312107,8943.08416791984,-0.2559085217706129
KEN,KENYA,35.0,0.0,34.0,35.0,50221.142,0.1325488374646034,1667.48447230835,0.29764787135419274
KIR,KIRIBATI,2.0,1.0,2.0,1.0,114.158,0.07321613236814888,1853.05122713319,0.0051519331213033225
KWT,KOWEÏT,189.0,137.0,188.0,56.0,4056.099,0.2111905180669322,29047.6535822842,-0.4430537889731369
LSO,LESOTHO,17.0,15.0,17.0,2.0,2091.534,0.037985224769900156,1069.36673247542,-0.1219806498965386
LVA,LETTONIE,41.0,43.0,41.0,33.0,1951.097,-0.056992792709191276,15132.4958333982,0.13527635190019321
