Country Code,Zone
ALB,AFGHANISTAN
DZA,AFRIQUE DU SUD
DEU,"ÅLAND, ÎLES"
AND,ALBANIE
AGO,ALGÉRIE
AIA,ALLEMAGNE
ATA,ANDORRE
ATG,ANGOLA
SAU,ANGUILLA
ARG,ANTARCTIQUE
ARM,ANTIGUA-ET-BARBUDA
ABW,ARABIE SAOUDITE
AUS,ARGENTINE
AUT,ARMÉNIE
AZE,ARUBA
BHS,AUSTRALIE
BHR,AUTRICHE
BGD,AZERBAÏDJAN
BRB,BAHAMAS
BLR,BAHREÏN
BEL,BANGLADESH
BLZ,BARBADE
BEN,BÉLARUS
BMU,BELGIQUE
BTN,BELIZE
BOL,BÉNIN
BES,BERMUDES
BIH,BHOUTAN
BWA,"BOLIVIE, ÉTAT PLURINATIONAL DE"
BVT,"BONAIRE, SAINT-EUSTACHE ET SABA"
BRA,BOSNIE-HERZÉGOVINE
BRN,BOTSWANA
BGR,"BOUVET, ÎLE"
BFA,BRÉSIL
BDI,BRUNÉI DARUSSALAM
CYM,BULGARIE
KHM,BURKINA FASO
CMR,BURUNDI
CAN,"CAÏMANES, ÎLES"
CPV,CAMBODGE
CAF,CAMEROUN
CHL,CANADA
CHN,CABO VERDE
CXR,"CENTRAFRICAINE, RÉPUBLIQUE"
CYP,CHILI
CCK,CHINE
COL,"CHRISTMAS, ÎLE"
COM,CHYPRE
COG,"COCOS (KEELING), ÎLES"
COD,COLOMBIE
COK,COMORES
KOR,CONGO
PRK,"CONGO, RÉPUBLIQUE DÉMOCRATIQUE DU"
CRI,"COOK, ÎLES"
CIV,"CORÉE, RÉPUBLIQUE DE"
HRV,"CORÉE, RÉPUBLIQUE POPULAIRE DÉMOCRATIQUE DE"
CUB,COSTA RICA
CUW,CÔTE D’IVOIRE
DNK,CROATIE
DJI,CUBA
DOM,CURAÇAO
DMA,DANEMARK
EGY,DJIBOUTI
ARE,"DOMINICAINE, RÉPUBLIQUE"
ECU,DOMINIQUE
ERI,ÉGYPTE
ESP,ÉMIRATS ARABES UNIS
EST,ÉQUATEUR
USA,ÉRYTHRÉE
ETH,ESPAGNE
FLK,ESTONIE
FRO,ÉTATS-UNIS
FJI,ÉTHIOPIE
FIN,"FALKLAND, ÎLES (MALVINAS)"
FRA,"FÉROÉ, ÎLES"
GAB,FIDJI
GMB,FINLANDE
GEO,FRANCE
SGS,GABON
GHA,GAMBIE
GIB,GÉORGIE
GRC,GÉORGIE DU SUD ET LES ÎLES SANDWICH DU SUD
GRD,GHANA
GRL,GIBRALTAR
GLP,GRÈCE
GUM,GRENADE
GTM,GROENLAND
GGY,GUADELOUPE
GIN,GUAM
GNB,GUATEMALA
GNQ,GUERNESEY
GUY,GUINÉE
GUF,GUINÉE-BISSAU
HTI,GUINÉE ÉQUATORIALE
HMD,GUYANA
HND,GUYANE FRANÇAISE
HKG,HAÏTI
HUN,"HEARD ET MACDONALD, ÎLES"
UMI,HONDURAS
IND,HONG KONG
IDN,HONGRIE
IRN,ÎLES MINEURES ÉLOIGNÉES DES ÉTATS-UNIS
IRQ,INDE
IRL,INDONÉSIE
ISL,"IRAN, RÉPUBLIQUE ISLAMIQUE D’"
ISR,IRAK
ITA,IRLANDE
JAM,ISLANDE
JPN,ISRAËL
JEY,ITALIE
JOR,JAMAÏQUE
KAZ,JAPON
KEN,JERSEY
KGZ,JORDANIE
KIR,KAZAKHSTAN
KWT,KENYA
LAO,KIRGHIZISTAN
LSO,KIRIBATI
LVA,KOWEÏT
LBN,"LAO, RÉPUBLIQUE DÉMOCRATIQUE POPULAIRE"
LBR,LESOTHO
LBY,LETTONIE
LIE,LIBAN
LTU,LIBÉRIA
LUX,LIBYE
MAC,LIECHTENSTEIN
MKD,LITUANIE
MDG,LUXEMBOURG
MYS,MACAO
